City,Date,PM 2.5 Value
Alexandria,6/5/2012,11.625
Alexandria,6/7/2012,11.9
Alexandria,6/9/2012,7.1
Alexandria,6/10/2012,7.2
Alexandria,6/11/2012,7.7
Alexandria,6/12/2012,5.4
Alexandria,6/14/2012,6.9
Alexandria,6/17/2012,8.4
Alexandria,6/20/2012,8.6
Alexandria,6/23/2012,14.6
Alexandria,6/25/2012,13.8
Alexandria,6/26/2012,17.2
Alexandria,6/29/2012,18.7
Alexandria,7/2/2012,12.9
Alexandria,7/5/2012,9.7
Alexandria,7/8/2012,6.7
Alexandria,7/11/2012,4.8
Alexandria,7/14/2012,3.5
Alexandria,7/17/2012,3.8
Alexandria,7/20/2012,6.2
Alexandria,7/23/2012,5.7
Alexandria,7/26/2012,4.8
Alexandria,7/29/2012,15.3
Alexandria,7/30/2012,19.7
Alexandria,8/1/2012,12.7
Alexandria,8/4/2012,9.2
Alexandria,8/7/2012,7.3
Alexandria,8/10/2012,9.9
Alexandria,8/13/2012,5.8
Alexandria,8/16/2012,9.2
Alexandria,8/19/2012,6.9
Alexandria,8/22/2012,13.8
Alexandria,8/25/2012,5.1
Alexandria,8/28/2012,9.4
Alexandria,8/31/2012,5.3
Alexandria,9/3/2012,8.8
Alexandria,9/6/2012,8.6
Alexandria,9/9/2012,4.8
Alexandria,9/12/2012,7.8
Alexandria,9/15/2012,11.1
Alexandria,9/18/2012,9.4
Alexandria,9/21/2012,12.8
Alexandria,9/24/2012,16.7
Alexandria,9/27/2012,12.8
Alexandria,9/30/2012,3
Alexandria,10/3/2012,12
Alexandria,10/6/2012,7.5
Alexandria,10/9/2012,11
Alexandria,10/12/2012,15.8
Alexandria,10/15/2012,7.7
Alexandria,10/18/2012,5.1
Alexandria,10/21/2012,6.6
Alexandria,10/24/2012,9.4
Alexandria,10/27/2012,4.7
Alexandria,10/30/2012,8.4
Alexandria,11/2/2012,9.5
Alexandria,11/5/2012,14.6
Alexandria,11/8/2012,6
Alexandria,11/11/2012,4.8
Alexandria,11/14/2012,6.45
Alexandria,11/15/2012,8.1
Alexandria,11/18/2012,11.35
Alexandria,11/20/2012,14.6
Alexandria,11/21/2012,11.5
Alexandria,11/23/2012,15.4
Alexandria,11/26/2012,6.9
Alexandria,11/29/2012,8.2
Alexandria,12/2/2012,2
Alexandria,12/5/2012,2.9
Alexandria,12/8/2012,5.1
Alexandria,12/11/2012,5.1
Alexandria,12/14/2012,5.8
Alexandria,12/17/2012,5.8
Alexandria,12/20/2012,5.8
Alexandria,12/21/2012,3.1
Alexandria,12/23/2012,3.8
Alexandria,12/26/2012,5.85
Alexandria,12/29/2012,7.9
Alexandria,1/1/2013,4.2
Alexandria,1/4/2013,7.5
Alexandria,1/7/2013,6.6
Alexandria,1/10/2013,1.8
Alexandria,1/13/2013,3.5
Alexandria,1/16/2013,5.3
Alexandria,1/19/2013,5.9
Alexandria,1/22/2013,6.1
Alexandria,1/25/2013,6.6
Alexandria,1/28/2013,8.6
Alexandria,1/31/2013,3
Alexandria,2/3/2013,6.6
Alexandria,2/6/2013,10.4
Alexandria,2/9/2013,10.9
Alexandria,2/12/2013,2
Alexandria,2/15/2013,5.3
Alexandria,2/18/2013,4.8
Alexandria,2/21/2013,9.7
Alexandria,2/24/2013,6.1
Alexandria,2/27/2013,8.2
Alexandria,3/2/2013,7.3
Alexandria,3/5/2013,6
Alexandria,3/8/2013,11.4
Alexandria,3/11/2013,4.8
Alexandria,3/14/2013,6.5
Alexandria,3/17/2013,9.6
Alexandria,3/20/2013,5.1
Alexandria,3/23/2013,12.2
Alexandria,3/26/2013,4.3
Alexandria,3/29/2013,5.5
Alexandria,4/1/2013,4.3
Alexandria,4/4/2013,6.3
Alexandria,4/7/2013,5.6
Alexandria,4/10/2013,8.3
Alexandria,4/13/2013,5.3
Alexandria,4/16/2013,10.2
Alexandria,4/19/2013,4
Alexandria,4/22/2013,9.7
Alexandria,4/25/2013,4.6
Alexandria,4/28/2013,7.4
Alexandria,5/1/2013,4.2
Alexandria,5/4/2013,6
Alexandria,5/7/2013,11
Alexandria,5/10/2013,5.9
Alexandria,5/13/2013,5.8
Alexandria,5/16/2013,6.6
Alexandria,5/19/2013,8.2
Alexandria,5/22/2013,4.8
Alexandria,5/25/2013,11.7
Alexandria,5/28/2013,5.8
Alexandria,5/31/2013,3.4
Alexandria,6/1/2013,4.3
Alexandria,6/3/2013,3.9
Alexandria,6/6/2013,4.8
Alexandria,6/9/2013,3.9
Alexandria,6/12/2013,9.6
Alexandria,6/15/2013,14
Alexandria,6/18/2013,6
Alexandria,6/21/2013,8.5
Alexandria,6/23/2013,7.9
Alexandria,6/24/2013,9.4
Alexandria,6/27/2013,9.2
Alexandria,6/30/2013,8.7
Alexandria,7/3/2013,15.3
Alexandria,7/6/2013,5.1
Alexandria,7/9/2013,6
Alexandria,7/12/2013,9.2
Alexandria,7/15/2013,5.5
Alexandria,7/18/2013,5.4
Alexandria,7/21/2013,4.3
Alexandria,7/24/2013,10.9
Alexandria,7/27/2013,6.6
Alexandria,8/2/2013,10.2
Alexandria,8/3/2013,6.5
Alexandria,8/5/2013,20.5
Alexandria,8/11/2013,4.2
Alexandria,8/12/2013,4.7
Alexandria,8/13/2013,6.3
Alexandria,8/14/2013,4.6
Alexandria,8/17/2013,13.9
Alexandria,8/20/2013,4.9
Alexandria,8/23/2013,7
Alexandria,8/26/2013,6
Alexandria,8/29/2013,19.5
Alexandria,9/1/2013,10
Alexandria,9/4/2013,11.5
Alexandria,9/7/2013,10.5
Alexandria,9/10/2013,16.1
Alexandria,9/13/2013,13.4
Alexandria,9/16/2013,13.4
Alexandria,9/19/2013,6.3
Alexandria,9/22/2013,4.1
Alexandria,9/25/2013,10.8
Alexandria,9/28/2013,10.3
Alexandria,10/1/2013,3.9
Alexandria,10/4/2013,6.4
Alexandria,10/7/2013,4
Alexandria,10/10/2013,9.6
Alexandria,10/13/2013,4.7
Alexandria,10/16/2013,4.2
Alexandria,10/19/2013,8
Alexandria,10/22/2013,8.8
Alexandria,10/25/2013,5.6
Alexandria,10/28/2013,8
Alexandria,10/31/2013,3.4
Alexandria,11/3/2013,4
Alexandria,11/5/2013,7.5
Alexandria,11/6/2013,5.6
Alexandria,11/9/2013,6.6
Alexandria,11/12/2013,7.8
Alexandria,11/15/2013,7.7
Alexandria,11/18/2013,4.2
Alexandria,11/20/2013,5.4
Alexandria,11/21/2013,15.9
Alexandria,11/24/2013,4.2
Alexandria,11/27/2013,4.7
Alexandria,11/30/2013,8.2
Alexandria,12/3/2013,8.6
Alexandria,12/6/2013,1.2
Alexandria,12/9/2013,4
Alexandria,12/12/2013,6
Alexandria,12/15/2013,11.4
Alexandria,12/18/2013,10.6
Alexandria,12/21/2013,3.6
Alexandria,12/24/2013,5.6
Alexandria,12/27/2013,6.2
Alexandria,12/30/2013,9.5
Alexandria,1/2/2014,8.5
Alexandria,1/5/2014,6.8
Alexandria,1/8/2014,6.4
Alexandria,1/11/2014,3.5
Alexandria,1/14/2014,3.4
Alexandria,2/4/2014,4.4
Alexandria,2/6/2014,11.5
Alexandria,2/7/2014,10.2
Alexandria,2/8/2014,10.9
Alexandria,2/9/2014,9.4
Alexandria,2/10/2014,5.4
Alexandria,2/13/2014,9
Alexandria,2/16/2014,11.7
Alexandria,2/19/2014,6.1
Alexandria,2/22/2014,22.4
Alexandria,2/25/2014,10.3
Alexandria,2/28/2014,5.6
Alexandria,3/3/2014,4.2
Alexandria,3/6/2014,6.6
Alexandria,3/9/2014,9.4
Alexandria,3/12/2014,5.5
Alexandria,3/15/2014,6.8
Alexandria,3/18/2014,6.9
Alexandria,3/21/2014,11.7
Alexandria,3/24/2014,6.4
Alexandria,3/27/2014,5.4
Alexandria,3/30/2014,5
Alexandria,4/2/2014,9.3
Alexandria,4/8/2014,5.6
Alexandria,4/9/2014,5.2
Alexandria,4/11/2014,5.4
Alexandria,4/14/2014,5.9
Alexandria,4/17/2014,7.5
Alexandria,4/20/2014,9.4
Alexandria,4/23/2014,10.4
Alexandria,4/26/2014,8.1
Alexandria,4/29/2014,13.4
Alexandria,5/2/2014,8.7
Alexandria,5/5/2014,8
Alexandria,5/8/2014,8.1
Alexandria,5/11/2014,5.3
Alexandria,5/14/2014,1.6
Alexandria,5/17/2014,5.4
Alexandria,5/20/2014,6.9
Alexandria,5/23/2014,9.2
Alexandria,5/26/2014,8
Alexandria,5/29/2014,3.2
Alexandria,6/1/2014,4.7
Alexandria,6/4/2014,5.1
Alexandria,6/7/2014,5.2
Alexandria,6/14/2014,7.9
Alexandria,6/15/2014,6.1
Alexandria,6/16/2014,10.1
Alexandria,6/19/2014,9.1
Alexandria,6/22/2014,16
Alexandria,6/25/2014,4.6
Alexandria,7/1/2014,8.1
Alexandria,7/2/2014,9.2
Alexandria,7/4/2014,7.8
Alexandria,7/7/2014,12.7
Alexandria,7/10/2014,11.8
Alexandria,7/13/2014,11.4
Alexandria,7/16/2014,5.7
Alexandria,7/17/2014,8.8
Alexandria,7/19/2014,8.3
Alexandria,7/22/2014,8.6
Alexandria,7/25/2014,11.8
Alexandria,7/28/2014,11
Alexandria,7/31/2014,13.9
Alexandria,8/3/2014,14.2
Alexandria,8/6/2014,9.2
Alexandria,8/7/2014,7
Alexandria,8/9/2014,5.6
Alexandria,8/12/2014,8.5
Alexandria,8/15/2014,10.2
Alexandria,8/18/2014,11.3
Alexandria,8/21/2014,6
Alexandria,8/26/2014,8.1
Alexandria,8/27/2014,8.9
Alexandria,8/30/2014,1.7
Alexandria,9/2/2014,3
Alexandria,9/5/2014,6.1
Alexandria,9/8/2014,11.4
Alexandria,9/11/2014,4.6
Alexandria,9/14/2014,8.2
Alexandria,9/17/2014,5.6
Alexandria,9/20/2014,9.3
Alexandria,9/23/2014,6.4
Alexandria,9/26/2014,9.8
Alexandria,9/27/2014,8
Alexandria,9/29/2014,5.1
Alexandria,10/8/2014,3.5
Alexandria,10/11/2014,6
Alexandria,10/14/2014,4.2
Alexandria,10/28/2014,9.6
Alexandria,10/29/2014,5.5
Alexandria,10/30/2014,4.3
Alexandria,11/1/2014,3.4
Alexandria,11/4/2014,8.5
Alexandria,11/5/2014,6.7
Alexandria,11/6/2014,5.6
Alexandria,11/7/2014,3.7
Alexandria,11/8/2014,6
Alexandria,11/10/2014,14.8
Alexandria,11/13/2014,6.7
Alexandria,11/16/2014,6.2
Alexandria,11/19/2014,6.9
Alexandria,11/25/2014,6
Alexandria,11/26/2014,5.4
Alexandria,11/28/2014,7.9
Alexandria,12/1/2014,5.7
Alexandria,12/4/2014,9
Alexandria,12/7/2014,10.9
Alexandria,12/10/2014,9.6
Alexandria,12/13/2014,21.2
Alexandria,12/16/2014,4.4
Alexandria,12/19/2014,8.2
Alexandria,12/22/2014,7.6
Alexandria,12/25/2014,3.7
Alexandria,12/28/2014,1.5
Alexandria,1/7/2015,4.4
Alexandria,1/8/2015,3.8
Alexandria,1/9/2015,6.4
Alexandria,1/10/2015,4.1
Alexandria,1/12/2015,6.5
Alexandria,1/15/2015,7.5
Alexandria,1/18/2015,6.2
Alexandria,1/21/2015,5.7
Alexandria,1/24/2015,4.2
Alexandria,1/27/2015,4.9
Alexandria,1/30/2015,4.7
Alexandria,2/2/2015,6
Alexandria,2/5/2015,6.6
Alexandria,2/8/2015,6
Alexandria,2/11/2015,12.7
Alexandria,2/14/2015,14.2
Alexandria,2/17/2015,7.5
Alexandria,2/20/2015,5.4
Alexandria,2/23/2015,4.8
Alexandria,2/26/2015,7.2
Alexandria,3/1/2015,5.7
Alexandria,3/4/2015,4.2
Alexandria,3/7/2015,4.2
Alexandria,3/10/2015,4.7
Alexandria,3/13/2015,4.7
Alexandria,3/16/2015,6.8
Alexandria,3/19/2015,9.2
Alexandria,3/22/2015,10.2
Alexandria,3/25/2015,5.4
Alexandria,3/28/2015,6.5
Alexandria,3/31/2015,6.2
Alexandria,4/3/2015,9.6
Alexandria,4/6/2015,8.3
Alexandria,4/9/2015,5.5
Alexandria,4/12/2015,4.2
Alexandria,4/15/2015,6.1
Alexandria,4/18/2015,3.6
Alexandria,4/21/2015,4.2
Alexandria,4/24/2015,13.7
