City,Year,Month,Day,pm25
BATON ROUGE / CAPITOL 001,2011,4,14,118
BATON ROUGE / CAPITOL 001,2011,4,15,118
BATON ROUGE / CAPITOL 001,2011,4,16,91
BATON ROUGE / CAPITOL 001,2011,4,17,72
BATON ROUGE / CAPITOL 001,2011,4,18,99
BATON ROUGE / CAPITOL 001,2011,4,19,119
BATON ROUGE / CAPITOL 001,2011,4,20,112
BATON ROUGE / CAPITOL 001,2011,4,21,90
BATON ROUGE / CAPITOL 001,2011,4,22,61
BATON ROUGE / CAPITOL 001,2011,4,23,62
BATON ROUGE / CAPITOL 001,2011,4,24,88
BATON ROUGE / CAPITOL 001,2011,4,25,102
BATON ROUGE / CAPITOL 001,2011,4,26,79
BATON ROUGE / CAPITOL 001,2011,4,27,155
BATON ROUGE / CAPITOL 001,2011,4,28,58
BATON ROUGE / CAPITOL 001,2011,4,29,69
BATON ROUGE / CAPITOL 001,2011,4,30,86
BATON ROUGE / CAPITOL 001,2011,5,1,97
BATON ROUGE / CAPITOL 001,2011,5,2,91
BATON ROUGE / CAPITOL 001,2011,5,3,44
BATON ROUGE / CAPITOL 001,2011,5,4,53
BATON ROUGE / CAPITOL 001,2011,5,5,97
BATON ROUGE / CAPITOL 001,2011,5,6,153
BATON ROUGE / CAPITOL 001,2011,5,7,113
BATON ROUGE / CAPITOL 001,2011,5,8,112
BATON ROUGE / CAPITOL 001,2011,5,9,124
BATON ROUGE / CAPITOL 001,2011,5,10,72
BATON ROUGE / CAPITOL 001,2011,5,11,92
BATON ROUGE / CAPITOL 001,2011,5,12,128
BATON ROUGE / CAPITOL 001,2011,5,13,98
BATON ROUGE / CAPITOL 001,2011,5,14,68
BATON ROUGE / CAPITOL 001,2011,5,15,76
BATON ROUGE / CAPITOL 001,2011,5,16,52
BATON ROUGE / CAPITOL 001,2011,5,17,77
BATON ROUGE / CAPITOL 001,2011,5,18,194
BATON ROUGE / CAPITOL 001,2011,5,19,83
BATON ROUGE / CAPITOL 001,2011,5,20,138
BATON ROUGE / CAPITOL 001,2011,5,21,160
BATON ROUGE / CAPITOL 001,2011,5,22,106
BATON ROUGE / CAPITOL 001,2011,5,23,131
BATON ROUGE / CAPITOL 001,2011,5,24,64
BATON ROUGE / CAPITOL 001,2011,5,25,56
BATON ROUGE / CAPITOL 001,2011,5,26,111
BATON ROUGE / CAPITOL 001,2011,5,27,97
BATON ROUGE / CAPITOL 001,2011,5,28,71
BATON ROUGE / CAPITOL 001,2011,5,29,64
BATON ROUGE / CAPITOL 001,2011,5,30,84
BATON ROUGE / CAPITOL 001,2011,5,31,91
BATON ROUGE / CAPITOL 001,2011,6,1,149
BATON ROUGE / CAPITOL 001,2011,6,2,209
BATON ROUGE / CAPITOL 001,2011,6,3,133
BATON ROUGE / CAPITOL 001,2011,6,4,187
BATON ROUGE / CAPITOL 001,2011,6,5,251
BATON ROUGE / CAPITOL 001,2011,6,6,246
BATON ROUGE / CAPITOL 001,2011,6,7,202
BATON ROUGE / CAPITOL 001,2011,6,8,142
BATON ROUGE / CAPITOL 001,2011,6,9,132
BATON ROUGE / CAPITOL 001,2011,6,10,187
BATON ROUGE / CAPITOL 001,2011,6,11,189
BATON ROUGE / CAPITOL 001,2011,6,12,199
BATON ROUGE / CAPITOL 001,2011,6,13,148
BATON ROUGE / CAPITOL 001,2011,6,14,102
BATON ROUGE / CAPITOL 001,2011,6,15,68
BATON ROUGE / CAPITOL 001,2011,6,16,80
BATON ROUGE / CAPITOL 001,2011,6,17,75
BATON ROUGE / CAPITOL 001,2011,6,18,85
BATON ROUGE / CAPITOL 001,2011,6,19,75
BATON ROUGE / CAPITOL 001,2011,6,20,74
BATON ROUGE / CAPITOL 001,2011,6,21,105
BATON ROUGE / CAPITOL 001,2011,6,22,75
BATON ROUGE / CAPITOL 001,2011,6,23,87
