Year,Parish,Rate,Count,Population
2012,Madison,83.45,69,12215
2012,Morehouse,78.2,27,27378
2012,Natchitoches,46.3,22,39341
2012,Orleans,67.5,261,369947
2012,Ouachita,76.6,127,155265
2012,Plaquemines,100.8,26,23836
2012,Pointe coupee,73.9,23,22676
2012,Rapides,79.9,121,132022
2012,Red river,78.75,70.5,9071
2012,Richland,77.6,20,20917
2012,Sabine,66.1,23,24328
2012,St bernard,104.3,36,41495
2012,St charles,55.2,28,52429
2012,St helena,57.8,22.5,10988
2012,St james,60.4,17,21638
2012,St john the baptist,76.55,52,44716
2012,St landry,92.7,87,83487
2012,St martin,63.1,36,52664
2012,St mary,68.1,41,53583
2012,St tammany,68.5,191,239154
2012,Tangipahoa,65.4,90,123656
2012,Tensas,78.05,96.5,4998
2012,Terrebonne,90.7,103,111762
2012,Union,90.8,30,22528
2012,Vermilion,67.5,45,58637
2012,Vernon,77.7,35,54173
2012,Washington,103.2,60,46675
2012,Webster,77.2,44,40914
2012,West baton rouge,82.6,21,24170
2012,West carroll,78.6,163,11500
2012,West feliciana,78.6,163,15471
2012,Winn,78.6,163,15105
2013,Acadia,86,58,62310
2013,Allen,72.7,21,25660
2013,Ascension,57.8,59,114665
2013,Assumption,77.8,21,23201
2013,Avoyelles,85,43,41288
2013,Beauregard,92.4,40,36281
2013,Bienville,79.45,63,13966
2013,Bossier,66.5,86,124049
2013,Caddo,65.7,199,255248
2013,Calcasieu,66.3,148,195550
2013,Caldwell,78.6,163,9986
2013,Cameron,78.6,163,6711
2013,Catahoula,126.5,16,10254
2013,Claiborne,99.65,17,16665
2013,Concordia,72.8,18,20504
2013,De soto,62.4,21,27096
2013,Eastbatonrouge,54.6,243,444345
2013,East carroll,54.6,243,7499
2013,East feliciana,78.6,163,19596
2013,Evangeline,78.2,29,33824
2013,Franklin,84.1,23,20519
2013,Grant,96.4,25,22317
2013,Iberia,74.4,58,73628
2013,Iberville,86.8,33,33395
2013,Jackson,76,188.5,16150
2013,Jefferson,65.2,344,434394
2013,Jefferson davis,83.2,32,31305
2013,Lafayette,65.7,146,231757
2013,Lafourche,48.4,54,97235
2013,Laqsalle,47,38,14819
2013,Lincoln,45.6,22,47257
2013,Livingston,86.8,111,133726
2013,Madison,84.8,70,11912
2013,Morehouse,82.8,29,26938
2013,Natchitoches,70.8,32,39122
2013,Orleans,66.7,260,378863
2013,Ouachita,76.9,128,156075
2013,Plaquemines,65.95,72.5,23520
2013,Pointe coupee,55,17,22424
2013,Rapides,60.9,95,132337
2013,Red river,65.75,56.5,8956
2013,Richland,70.6,18,20918
2013,Sabine,48.2,16,24264
2013,St bernard,86.5,36,43446
2013,St charles,64.1,33,52623
2013,St helena,64.6,25,10781
2013,St james,65.1,17,21609
2013,St john the baptist,48.2,24,43565
2013,St landry,78.3,75,83448
2013,St martin,84.7,51,52950
2013,St mary,48,31,53608
2013,St tammany,66.5,191,242074
2013,Tangipahoa,94.8,122,125550
2013,Tensas,85.95,104.5,4932
2013,Terrebonne,77.1,87,112773
2013,Union,65.9,20,22460
2013,Vermilion,76,51,59286
2013,Vernon,109.3,49,52884
2013,Washington,83.8,50,46412
2013,Webster,100.9,55,40669
2013,West baton rouge,69.7,19,24682
2013,West carroll,89.8,19.5,11452
2013,West feliciana,109.9,20,15455
2013,Winn,94.4,37.5,14852
2014,Acadia,78.9,55,62681
2014,Allen,65.8,19,25710
2014,Ascension,69.2,73,117318
2014,Assumption,98.1,26,23052
2014,Avoyelles,79.4,39,41101
2014,Beauregard,71.3,31,36264
2014,Bienville,85.9,18,13789
2014,Bossier,50.3,67,124922
2014,Caddo,78.3,236,252740
2014,Calcasieu,62.4,142,196641
2014,Caldwell,78.6,163,9953
2014,Cameron,78.6,163,6724
2014,Catahoula,78.6,163,10133
2014,Claiborne,76.3,16,16406
2014,Concordia,66.2,17,20484
2014,De soto,69.4,24,27069
2014,Eastbatonrouge,52.7,235,445334
2014,East carroll,52.7,235,7444
2014,East feliciana,78.6,163,19672
2014,Evangeline,76.4,30,33759
2014,Franklin,66.3,18,20441
2014,Grant,77.5,20,22377
2014,Iberia,84.9,67,73518
2014,Iberville,91.9,36,33142
2014,Jackson,86.1,18,16013
2014,Jefferson,66.5,352,434235
2014,Jefferson davis,100.3,39,31462
2014,Lafayette,67.1,154,235999
2014,Lafourche,81.2,88,97849
2014,Laqsalle,71.35,58.5,14873
2014,Lincoln,61.5,29,47227
